date,family,total_sales,total_promotions,oil_price,is_holiday
2013-01-01,AUTOMOTIVE,0.0,0,93.14,1.0
2013-01-02,AUTOMOTIVE,255.0,0,93.14,
2013-01-03,AUTOMOTIVE,161.0,0,92.97,
2013-01-04,AUTOMOTIVE,169.0,0,93.12,
2013-01-05,AUTOMOTIVE,342.0,0,93.12,1.0
2013-01-06,AUTOMOTIVE,360.0,0,93.12,
2013-01-07,AUTOMOTIVE,189.0,0,93.2,
2013-01-08,AUTOMOTIVE,229.0,0,93.21,
2013-01-09,AUTOMOTIVE,164.0,0,93.08,
2013-01-10,AUTOMOTIVE,164.0,0,93.81,
2013-01-11,AUTOMOTIVE,162.0,0,93.6,
2013-01-12,AUTOMOTIVE,280.0,0,93.6,1.0
2013-01-13,AUTOMOTIVE,326.0,0,93.6,
2013-01-14,AUTOMOTIVE,162.0,0,94.27,
2013-01-15,AUTOMOTIVE,165.0,0,93.26,
2013-01-16,AUTOMOTIVE,171.0,0,94.28,
2013-01-17,AUTOMOTIVE,192.0,0,95.49,
2013-01-18,AUTOMOTIVE,170.0,0,95.61,
2013-01-19,AUTOMOTIVE,281.0,0,95.61,
2013-01-20,AUTOMOTIVE,370.0,0,95.61,
2013-01-21,AUTOMOTIVE,189.0,0,95.61,
2013-01-22,AUTOMOTIVE,163.0,0,96.09,
2013-01-23,AUTOMOTIVE,198.0,0,95.06,
2013-01-24,AUTOMOTIVE,156.0,0,95.35,
2013-01-25,AUTOMOTIVE,177.0,0,95.15,
2013-01-26,AUTOMOTIVE,302.0,0,95.15,
2013-01-27,AUTOMOTIVE,332.0,0,95.15,
2013-01-28,AUTOMOTIVE,171.0,0,95.95,
2013-01-29,AUTOMOTIVE,177.0,0,97.62,
2013-01-30,AUTOMOTIVE,209.0,0,97.98,
2013-01-31,AUTOMOTIVE,171.0,0,97.65,
2013-02-01,AUTOMOTIVE,254.0,0,97.46,
2013-02-02,AUTOMOTIVE,405.0,0,97.46,
2013-02-03,AUTOMOTIVE,420.0,0,97.46,
2013-02-04,AUTOMOTIVE,266.0,0,96.21,
2013-02-05,AUTOMOTIVE,269.0,0,96.68,
2013-02-06,AUTOMOTIVE,220.0,0,96.44,
2013-02-07,AUTOMOTIVE,206.0,0,95.84,
2013-02-08,AUTOMOTIVE,309.0,0,95.71,
2013-02-09,AUTOMOTIVE,402.0,0,95.71,
2013-02-10,AUTOMOTIVE,268.0,0,95.71,
2013-02-11,AUTOMOTIVE,216.0,0,97.01,1.0
2013-02-12,AUTOMOTIVE,320.0,0,97.48,1.0
2013-02-13,AUTOMOTIVE,208.0,0,97.03,
2013-02-14,AUTOMOTIVE,161.0,0,97.3,
2013-02-15,AUTOMOTIVE,178.0,0,95.95,
2013-02-16,AUTOMOTIVE,377.0,0,95.95,
2013-02-17,AUTOMOTIVE,334.0,0,95.95,
2013-02-18,AUTOMOTIVE,182.0,0,95.95,
2013-02-19,AUTOMOTIVE,237.0,0,96.69,
2013-02-20,AUTOMOTIVE,239.0,0,94.92,
2013-02-21,AUTOMOTIVE,164.0,0,92.79,
2013-02-22,AUTOMOTIVE,181.0,0,93.12,
2013-02-23,AUTOMOTIVE,275.0,0,93.12,
2013-02-24,AUTOMOTIVE,390.0,0,93.12,
2013-02-25,AUTOMOTIVE,220.0,0,92.74,
2013-02-26,AUTOMOTIVE,170.0,0,92.63,
2013-02-27,AUTOMOTIVE,173.0,0,92.84,
2013-02-28,AUTOMOTIVE,176.0,0,92.03,
2013-03-01,AUTOMOTIVE,198.0,0,90.71,
2013-03-02,AUTOMOTIVE,353.0,0,90.71,1.0
2013-03-03,AUTOMOTIVE,383.0,0,90.71,
2013-03-04,AUTOMOTIVE,188.0,0,90.13,
2013-03-05,AUTOMOTIVE,139.0,0,90.88,
2013-03-06,AUTOMOTIVE,233.0,0,90.47,
2013-03-07,AUTOMOTIVE,201.0,0,91.53,
2013-03-08,AUTOMOTIVE,166.0,0,92.01,
2013-03-09,AUTOMOTIVE,272.0,0,92.01,
2013-03-10,AUTOMOTIVE,321.0,0,92.01,
2013-03-11,AUTOMOTIVE,196.0,0,92.07,
2013-03-12,AUTOMOTIVE,149.0,0,92.44,
2013-03-13,AUTOMOTIVE,175.0,0,92.47,
2013-03-14,AUTOMOTIVE,174.0,0,93.03,
2013-03-15,AUTOMOTIVE,172.0,0,93.49,
2013-03-16,AUTOMOTIVE,370.0,0,93.49,
2013-03-17,AUTOMOTIVE,360.0,0,93.49,
2013-03-18,AUTOMOTIVE,228.0,0,93.71,
2013-03-19,AUTOMOTIVE,259.0,0,92.44,
2013-03-20,AUTOMOTIVE,181.0,0,93.21,
2013-03-21,AUTOMOTIVE,206.0,0,92.46,
2013-03-22,AUTOMOTIVE,237.0,0,93.41,
2013-03-23,AUTOMOTIVE,344.0,0,93.41,
2013-03-24,AUTOMOTIVE,313.0,0,93.41,
2013-03-25,AUTOMOTIVE,227.0,0,94.55,
2013-03-26,AUTOMOTIVE,183.0,0,95.99,
2013-03-27,AUTOMOTIVE,216.0,0,96.53,
2013-03-28,AUTOMOTIVE,232.0,0,97.24,
2013-03-29,AUTOMOTIVE,317.0,0,97.24,
2013-03-30,AUTOMOTIVE,336.0,0,97.24,
2013-03-31,AUTOMOTIVE,306.0,0,97.24,
2013-04-01,AUTOMOTIVE,244.0,0,97.1,1.0
2013-04-02,AUTOMOTIVE,235.0,0,97.23,
2013-04-03,AUTOMOTIVE,188.0,0,95.02,
2013-04-04,AUTOMOTIVE,193.0,0,93.26,
2013-04-05,AUTOMOTIVE,219.0,0,92.76,
2013-04-06,AUTOMOTIVE,341.0,0,92.76,
2013-04-07,AUTOMOTIVE,345.0,0,92.76,
2013-04-08,AUTOMOTIVE,223.0,0,93.36,
2013-04-09,AUTOMOTIVE,196.0,0,94.18,
2013-04-10,AUTOMOTIVE,199.0,0,94.59,
2013-04-11,AUTOMOTIVE,165.0,0,93.44,
2013-04-12,AUTOMOTIVE,239.0,0,91.23,1.0
2013-04-13,AUTOMOTIVE,307.0,0,91.23,
2013-04-14,AUTOMOTIVE,357.0,0,91.23,1.0
2013-04-15,AUTOMOTIVE,215.0,0,88.75,
2013-04-16,AUTOMOTIVE,221.0,0,88.73,
2013-04-17,AUTOMOTIVE,214.0,0,86.65,
2013-04-18,AUTOMOTIVE,166.0,0,87.83,
