Feature,Importance
rolling_mean_7,0.6709072
rolling_mean_14,0.124741256
lag_1,0.0833872
lag_7,0.037190743
lag_14,0.02722693
lag_28,0.012603044
family_PRODUCE,0.008373364
day_of_week,0.0047888504
family_GROCERY I,0.0038029572
is_holiday,0.0034534575
month,0.0026101712
family_BEVERAGES,0.0025174178
day_of_month,0.002481562
family_FROZEN FOODS,0.0023829357
family_DAIRY,0.0019921348
week_of_year,0.0018377629
family_CLEANING,0.0016194667
rolling_mean_28,0.0015602172
total_promotions,0.0015175382
year,0.0011097302
family_HOME CARE,0.0009604885
oil_price,0.000826221
family_MEATS,0.00077996997
family_BREAD/BAKERY,0.0003019625
"family_LIQUOR,WINE,BEER",0.0002428076
family_PERSONAL CARE,0.00021088925
family_DELI,0.00011247244
family_POULTRY,0.00010828132
family_EGGS,0.000107113294
family_PREPARED FOODS,0.00010335589
family_SCHOOL AND OFFICE SUPPLIES,9.5119256e-05
family_AUTOMOTIVE,1.5029585e-05
family_GROCERY II,1.1970911e-05
family_SEAFOOD,7.139023e-06
family_CELEBRATION,7.068124e-06
family_HOME AND KITCHEN II,2.1647813e-06
family_HOME AND KITCHEN I,1.51659e-06
family_LADIESWEAR,1.4515189e-06
family_PLAYERS AND ELECTRONICS,8.356371e-07
family_LINGERIE,1.1410046e-07
family_BEAUTY,5.3461928e-08
family_PET SUPPLIES,9.008585e-09
family_BOOKS,0.0
family_BABY CARE,0.0
family_HARDWARE,0.0
family_MAGAZINES,0.0
family_HOME APPLIANCES,0.0
family_LAWN AND GARDEN,0.0
