date,family,predicted_sales
2017-08-16,AUTOMOTIVE,293.0644749232701
2017-08-17,AUTOMOTIVE,232.4805956782127
2017-08-18,AUTOMOTIVE,253.94668148385534
2017-08-19,AUTOMOTIVE,266.51700644225946
2017-08-20,AUTOMOTIVE,238.7373428337302
2017-08-21,AUTOMOTIVE,197.60714285714286
2017-08-22,AUTOMOTIVE,197.60714285714286
2017-08-16,BABY CARE,4.821428571428571
2017-08-17,BABY CARE,4.821428571428571
2017-08-18,BABY CARE,4.821428571428571
2017-08-19,BABY CARE,4.821428571428571
2017-08-20,BABY CARE,4.821428571428571
2017-08-21,BABY CARE,4.821428571428571
2017-08-22,BABY CARE,4.821428571428571
2017-08-16,BEAUTY,459.5259804861886
2017-08-17,BEAUTY,389.8300432415397
2017-08-18,BEAUTY,424.2245407350946
2017-08-19,BEAUTY,488.43799168568347
2017-08-20,BEAUTY,482.99425665441134
2017-08-21,BEAUTY,411.9086175318159
2017-08-22,BEAUTY,430.89530521398297
2017-08-16,BEVERAGES,173422.66986607143
2017-08-17,BEVERAGES,160441.79701211734
2017-08-18,BEVERAGES,181647.38094656522
2017-08-19,BEVERAGES,209091.97249606086
2017-08-20,BEVERAGES,215220.82533517777
2017-08-21,BEVERAGES,175475.0107066854
2017-08-22,BEVERAGES,169023.17143340048
2017-08-16,BOOKS,0.39285714285714285
2017-08-17,BOOKS,0.39285714285714285
2017-08-18,BOOKS,0.39285714285714285
2017-08-19,BOOKS,0.39285714285714285
2017-08-20,BOOKS,0.39285714285714285
2017-08-21,BOOKS,0.39285714285714285
2017-08-22,BOOKS,0.39285714285714285
2017-08-16,BREAD/BAKERY,27848.711223214283
2017-08-17,BREAD/BAKERY,25245.59380688775
2017-08-18,BREAD/BAKERY,27836.9122858883
2017-08-19,BREAD/BAKERY,29732.08290282815
2017-08-20,BREAD/BAKERY,34047.35560982436
2017-08-21,BREAD/BAKERY,28360.433989754336
2017-08-22,BREAD/BAKERY,26737.77307927059
2017-08-16,CELEBRATION,529.5939910888671
2017-08-17,CELEBRATION,630.5753913661412
2017-08-18,CELEBRATION,643.7971744963977
2017-08-19,CELEBRATION,671.019051868788
2017-08-20,CELEBRATION,540.2461980719257
2017-08-21,CELEBRATION,461.04594706714
2017-08-22,CELEBRATION,387.72707882481643
2017-08-16,CLEANING,57517.017187499994
2017-08-17,CLEANING,52569.86390625
2017-08-18,CLEANING,55676.340774553566
2017-08-19,CLEANING,64885.336517570155
2017-08-20,CLEANING,67139.30886385887
2017-08-21,CLEANING,57462.310493738536
2017-08-22,CLEANING,54456.735798380905
2017-08-16,DAIRY,45932.36026785714
2017-08-17,DAIRY,38012.55439094388
2017-08-18,DAIRY,41877.544891627185
2017-08-19,DAIRY,48400.01796510763
2017-08-20,DAIRY,52343.425152451535
2017-08-21,DAIRY,43284.23070586017
2017-08-22,DAIRY,40415.85002405775
2017-08-16,DELI,14997.498543526784
2017-08-17,DELI,14064.776966597576
2017-08-18,DELI,17910.292728335688
2017-08-19,DELI,17577.255405532214
2017-08-20,DELI,18529.545076930026
2017-08-21,DELI,15604.301701878812
2017-08-22,DELI,14917.407237986117
2017-08-16,EGGS,9023.515904017857
2017-08-17,EGGS,8448.668789859694
2017-08-18,EGGS,9439.268378621538
2017-08-19,EGGS,10301.86556694639
2017-08-20,EGGS,11828.440078967305
2017-08-21,EGGS,12788.633939494477
2017-08-22,EGGS,9449.20699281656
2017-08-16,FROZEN FOODS,6024.462688895088
2017-08-17,FROZEN FOODS,5779.841846544165
2017-08-18,FROZEN FOODS,7358.904044543378
2017-08-19,FROZEN FOODS,8690.90088222247
2017-08-20,FROZEN FOODS,6830.570293357898
2017-08-21,FROZEN FOODS,5551.532142425914
2017-08-22,FROZEN FOODS,5494.030277770953
2017-08-16,GROCERY I,224752.00107142853
2017-08-17,GROCERY I,216008.7041887755
2017-08-18,GROCERY I,226090.7655915087
