family,predicted_7_day_demand,avg_daily_demand,demand_std,safety_stock,recommended_stock,demand_vs_history,risk_category
AUTOMOTIVE,1679.9603870756134,329.4667458432304,108.62701489356321,474.21011066826816,2154.1704977438817,0.7284326689680483,Low Demand
BABY CARE,33.75,5.968527315914489,7.9471416233029295,34.69316460896501,68.44316460896502,0.8078087468197904,Normal
BEAUTY,3087.8167355487167,200.64904988123516,100.4103866379816,438.3405049517047,3526.1572405004213,2.1984488676525404,High Demand
BEVERAGES,1284322.8277960785,128832.83016627078,63121.645563035825,275556.8912331781,1559879.7190292566,1.4241299321637417,High Demand
BOOKS,2.75,3.823040380047506,12.968934636927848,56.61575010095868,59.36575010095868,0.10276039586384413,Low Demand
BREAD/BAKERY,199808.86289766777,25020.169536817102,6511.796257227314,28427.17925015869,228236.04214782646,1.1408445186229776,Normal
CELEBRATION,3864.004832784076,452.00534441805223,408.8127448353462,1784.6678117862516,5648.672644570328,1.2212260257860776,High Demand
CLEANING,409706.91354185203,57910.504156769595,15211.880756237602,66407.30820004686,476114.2217418989,1.0106898554873913,Normal
DAIRY,310265.9833979053,38294.36401425178,13725.805476146721,59919.86192598899,370185.8453238943,1.157447396110059,Normal
DELI,113601.07766078721,14317.310403800475,4171.727059358962,18211.631355559293,131812.7090163465,1.1335037742706624,Normal
EGGS,71279.59965072382,9256.70783847981,2554.068511634934,11149.75968679141,82429.35933751523,1.1000455159418405,Normal
FROZEN FOODS,45730.242175759864,8357.433040380047,10318.132738121756,45043.70181237978,90773.94398813965,0.781686399140709,Low Demand
GROCERY I,1664406.095156846,203956.49733966746,61832.88654221033,269930.82704933576,1934336.9222061818,1.1657990915196825,Normal
GROCERY II,9643.325607825225,1165.538598574822,426.209938597651,1860.6150813252646,11503.94068915049,1.1819582342957438,Normal
HARDWARE,274.375,61.442992874109265,20.085461012817092,87.68287243319594,362.05787243319594,0.6379316295958801,Low Demand
HOME AND KITCHEN I,11524.074849860726,1105.398456057007,878.3583495123396,3834.464295431224,15358.53914529195,1.489323961058671,High Demand
HOME AND KITCHEN II,10363.593776507989,903.0106888361045,788.764846610651,3443.3447846189542,13806.938561126943,1.6395303122626825,High Demand
HOME APPLIANCES,42.875,24.703681710213775,13.93203810586813,60.82016833926403,103.69516833926403,0.2479387514723204,Low Demand
HOME CARE,101683.95701499909,9514.693586698337,8182.37627680911,35720.079057285984,137404.0360722851,1.5267206916551914,High Demand
LADIESWEAR,3365.961845859215,386.6739904988124,380.89091080039293,1662.7753339274973,5028.737179786713,1.2435584085841922,High Demand
LAWN AND GARDEN,6216.824249964409,325.91567695961993,340.5094955989699,1486.4906832780132,7703.314933242423,2.7249924222115616,High Demand
LINGERIE,3244.6553509013356,387.8349168646081,116.18345591748208,507.1976758491939,3751.8530267505294,1.195153331559673,Normal
"LIQUOR,WINE,BEER",38809.47223409033,4600.1425178147265,3691.574564327573,16115.530601712913,54925.00283580324,1.205225772394006,High Demand
MAGAZINES,2144.1792924247875,158.17042755344417,179.18497081360834,782.2301378977382,2926.4094303225256,1.9365903742389259,High Demand
MEATS,135428.95373356625,18459.92087885986,4334.043639046981,18920.222706362507,154349.17643992876,1.0480539714915829,Normal
PERSONAL CARE,111444.4956339992,14603.35570071259,5361.252412851398,23404.491990412145,134848.98762441135,1.0902043721808126,Normal
PET SUPPLIES,2203.927810044288,211.7482185273159,197.06671787019363,860.29271983423,3064.220529878518,1.486892462170637,High Demand
PLAYERS AND ELECTRONICS,3479.367578320927,334.0902612826603,308.30383756426676,1345.8972160291405,4825.264794350067,1.4877791087964929,High Demand
POULTRY,136199.74885412602,18928.766496437056,6078.422399828636,26535.290155359133,162735.03900948516,1.027912039742434,Normal
PREPARED FOODS,32166.05496211898,5225.603871733967,1102.3454590815847,4812.277706958481,36978.332669077456,0.8793530511813118,Normal
PRODUCE,847202.0081390729,72865.03032660332,61847.26494127514,269993.5958018274,1117195.6039409004,1.6610005892139692,High Demand
SCHOOL AND OFFICE SUPPLIES,20631.78887339341,159.92636579572448,429.1020061836683,1873.2403724774626,22505.02924587087,18.429721677346897,High Demand
SEAFOOD,6689.661634988503,1196.8216686460808,305.75225755504465,1334.7583198739092,8024.419954862412,0.7985032130447715,Low Demand
